Name:,MRTJ Failure History(Formation)
RakeID,5
CarID,-
CarNo,-
ReadTime,26-05-07 16:08:16
DataSize,15
DataCount,200
-,
-,
-,
-,
-,
-,
-,
-,
-,
,,,,,,,,,,,,,,,,
Block.No,Year,Month,Day,Hour,Minute,Second,CarNo,Train ID,Occur/Recover,Location[m],Failure Equipment,Fault Code,Notch,Speed[km/h],Overhead Voltage[V],
0,26,05,07,16,04,07,06,FFFF,0,0,9,806,EB,0,10,
1,26,05,07,16,04,05,06,FFFF,1,0,9,806,EB,0,80,
2,26,05,07,16,04,00,02,FFFF,0,0,8,700,EB,0,0,
3,26,05,07,16,04,00,02,FFFF,0,0,7,600,EB,0,0,
4,26,05,07,16,04,00,02,FFFF,0,0,6,500,EB,0,0,
5,26,05,07,16,04,00,02,FFFF,0,0,5,400,EB,0,0,
6,26,05,07,16,04,00,01,FFFF,0,0,20,1200,EB,0,0,
7,26,05,07,16,04,00,01,FFFF,0,0,19,1100,EB,0,0,
8,26,05,07,16,04,00,01,FFFF,0,0,8,700,EB,0,0,
9,26,05,07,16,04,00,01,FFFF,0,0,7,600,EB,0,0,
10,26,05,07,16,04,00,01,FFFF,0,0,6,500,EB,0,0,
11,26,05,07,15,45,59,01,FFFF,0,0,1,121,EB,0,0,
12,26,05,07,15,45,59,02,FFFF,1,0,8,700,EB,0,0,
13,26,05,07,15,45,59,02,FFFF,1,0,7,600,EB,0,0,
14,26,05,07,15,45,59,02,FFFF,1,0,6,500,EB,0,0,
15,26,05,07,15,45,59,02,FFFF,1,0,5,400,EB,0,0,
16,26,05,07,15,45,59,01,FFFF,1,0,20,1200,EB,0,0,
17,26,05,07,15,45,59,01,FFFF,1,0,19,1100,EB,0,0,
18,26,05,07,15,45,59,01,FFFF,1,0,8,700,EB,0,0,
19,26,05,07,15,45,59,01,FFFF,1,0,7,600,EB,0,0,
20,26,05,07,15,45,59,01,FFFF,1,0,6,500,EB,0,0,
21,26,05,07,15,45,59,01,FFFF,1,0,1,121,EB,0,0,
22,26,05,07,15,13,32,06,FFFF,1,0,19,1103,EB,0,1610,
23,26,05,07,15,13,32,01,FFFF,1,0,19,1103,EB,0,1610,
24,26,05,07,15,08,39,06,FFFF,0,0,9,806,EB,0,120,
25,26,05,07,15,08,38,06,FFFF,1,0,9,806,EB,0,0,
26,26,05,07,15,04,37,01,FFFF,0,0,1,121,EB,0,0,
27,26,05,07,15,04,37,01,FFFF,1,0,1,121,EB,0,0,
28,26,05,07,15,02,15,04,FFFF,0,0,5,419,EB,0,0,
29,26,05,07,15,02,13,04,FFFF,1,0,5,419,EB,0,0,
30,26,05,07,14,21,44,01,FFFF,0,0,19,1103,EB,0,1600,
31,26,05,07,14,18,43,06,FFFF,0,0,19,1103,EB,0,1560,
32,26,05,07,14,18,29,06,FFFF,1,0,19,1103,EB,0,1560,
33,26,05,07,14,18,29,01,FFFF,1,0,19,1103,EB,0,1560,
34,26,05,07,14,13,35,06,FFFF,0,0,9,806,EB,0,10,
35,26,05,07,14,13,34,06,FFFF,1,0,9,806,EB,0,50,
36,26,05,06,23,10,22,01,FFFF,0,0,1,121,EB,0,20,
37,26,05,06,23,10,22,01,FFFF,1,0,1,121,EB,0,20,
38,26,05,06,22,55,17,01,1611,0,-74,2,212,Neutral,17,1590,
39,26,05,06,22,55,16,01,1611,1,-68,2,212,Neutral,16,1620,
40,26,05,06,22,55,14,06,1611,0,-62,2,212,Neutral,16,1590,
41,26,05,06,22,55,14,06,1611,0,-62,2,211,Neutral,16,1590,
42,26,05,06,22,55,14,01,1611,0,-62,2,212,Neutral,16,1590,
43,26,05,06,22,55,14,01,1611,0,-62,2,211,Neutral,16,1590,
44,26,05,06,22,55,12,06,1611,1,-53,2,212,Neutral,15,1580,
45,26,05,06,22,55,12,06,1611,1,-53,2,211,Neutral,15,1580,
46,26,05,06,22,55,12,01,1611,1,-53,2,212,Neutral,15,1580,
47,26,05,06,22,55,12,01,1611,1,-53,2,211,Neutral,15,1580,
48,26,05,06,22,54,55,01,1611,0,20,2,212,Neutral,13,1810,
49,26,05,06,22,54,55,01,1611,0,20,2,211,Neutral,13,1810,
50,26,05,06,22,54,54,01,1611,1,25,2,212,Neutral,13,1810,
51,26,05,06,22,54,54,01,1611,1,25,2,211,Neutral,13,1810,
52,26,05,06,14,54,40,01,FFFF,0,0,19,1103,EB,0,1580,
53,26,05,06,14,51,28,01,FFFF,1,0,19,1103,EB,0,1610,
54,26,05,06,14,46,34,06,FFFF,0,0,9,806,EB,0,20,
55,26,05,06,14,46,33,06,FFFF,1,0,9,806,EB,0,0,
56,26,05,06,14,46,28,03,FFFF,0,0,8,700,EB,0,0,
57,26,05,06,14,46,28,03,FFFF,0,0,7,600,EB,0,0,
58,26,05,06,14,46,28,03,FFFF,0,0,6,500,EB,0,0,
59,26,05,06,14,46,28,03,FFFF,0,0,4,301,EB,0,0,
60,26,05,06,14,46,28,03,FFFF,0,0,3,300,EB,0,0,
61,26,05,06,14,46,28,02,FFFF,0,0,8,700,EB,0,0,
